"Label (Grouping)","Total"
"    Margin of Error","±2,083"
"Scottsboro-Fort Payne, AL CSA",""
"    Estimate","124,889"
"    Margin of Error","*****"
"Seattle-Tacoma, WA CSA",""
"    Estimate","4,982,019"
"    Margin of Error","*****"
"Shreveport-Bossier City-Minden, LA CSA",""
"    Estimate","420,797"
"    Margin of Error","*****"
"South Bend-Elkhart-Mishawaka, IN-MI CSA",""
"    Estimate","810,585"
"    Margin of Error","*****"
"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",""
"    Estimate","781,497"
"    Margin of Error","*****"
"Springfield-Jacksonville-Lincoln, IL CSA",""
"    Estimate","303,596"
"    Margin of Error","±1,748"
"State College-DuBois, PA CSA",""
"    Estimate","236,329"
"    Margin of Error","*****"
"Syracuse-Auburn, NY CSA",""
"    Estimate","728,631"
"    Margin of Error","*****"
"Toledo-Findlay-Tiffin, OH CSA",""
"    Estimate","828,544"
"    Margin of Error","*****"
"Tucson-Nogales, AZ CSA",""
"    Estimate","1,106,356"
"    Margin of Error","*****"
"Tulsa-Muskogee-Bartlesville, OK CSA",""
"    Estimate","1,152,753"
"    Margin of Error","±1,364"
"Tupelo-Corinth, MS CSA",""
"    Estimate","197,247"
"    Margin of Error","*****"
"Tyler-Jacksonville, TX CSA",""
"    Estimate","293,567"
"    Margin of Error","*****"
"Victoria-Port Lavaca, TX CSA",""
"    Estimate","118,275"
"    Margin of Error","±1,989"
"Virginia Beach-Norfolk, VA-NC CSA",""
"    Estimate","1,900,645"
"    Margin of Error","±5,054"
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",""
"    Estimate","9,968,177"
"    Margin of Error","±2,947"
"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",""
"    Estimate","311,045"
"    Margin of Error","*****"
"Wichita-Winfield, KS CSA",""
"    Estimate","684,492"
"    Margin of Error","*****"
"Williamsport-Lock Haven, PA CSA",""
"    Estimate","151,035"
"    Margin of Error","*****"
"Youngstown-Warren, OH-PA CSA",""
"    Estimate","636,010"
"    Margin of Error","*****"
