"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"DeRidder-Fort Polk South, LA CSA","87,988","88,012","88,573","88,360","90,453","89,075","89,055","87,962","88,454","86,636","85,470","84,926"
"Des Moines-Ames-West Des Moines, IA CSA","778,013","778,013","780,488","791,494","800,589","813,442","827,376","838,022","849,696","860,436","869,285","877,991"
"Detroit-Warren-Ann Arbor, MI CSA","5,318,744","5,319,107","5,313,754","5,314,326","5,321,185","5,326,227","5,332,661","5,330,853","5,338,976","5,345,764","5,346,570","5,341,994"
"Dixon-Sterling, IL CSA","94,529","94,539","94,469","93,895","92,982","92,589","91,931","91,440","90,970","90,495","89,849","89,271"
"Dothan-Ozark, AL CSA","195,890","195,891","196,265","196,743","197,737","197,220","197,244","197,357","197,146","197,220","197,392","198,530"
"Eau Claire-Menomonie, WI CSA","205,008","205,248","205,542","206,686","207,698","208,868","209,098","209,768","210,784","212,043","213,555","214,672"
"Edwards-Glenwood Springs, CO CSA","125,734","125,718","125,325","125,268","126,387","127,214","128,149","129,503","131,301","131,934","132,620","132,955"
"Elmira-Corning, NY CSA","187,820","187,829","187,900","188,047","188,062","187,042","185,342","184,256","182,602","181,096","179,795","178,835"
"El Paso-Las Cruces, TX-NM CSA","1,013,356","1,013,326","1,017,145","1,036,434","1,050,117","1,048,491","1,051,022","1,049,473","1,053,866","1,058,179","1,058,891","1,062,319"
"Erie-Meadville, PA CSA","369,331","369,334","369,413","369,494","369,262","368,225","366,577","364,684","362,476","359,330","356,654","354,357"
"Fargo-Wahpeton, ND-MN CSA","231,674","231,674","232,373","236,065","240,426","246,147","250,597","255,534","259,856","264,120","266,784","268,529"
"Fayetteville-Sanford-Lumberton, NC CSA","797,499","797,499","807,472","818,400","823,658","831,355","833,439","835,141","840,565","843,098","849,109","854,826"
"Fort Wayne-Huntington-Auburn, IN CSA","584,076","584,073","584,758","587,723","589,280","592,039","594,244","596,749","598,738","601,571","606,202","611,373"
"Fresno-Madera-Hanford, CA CSA","1,234,297","1,234,315","1,235,395","1,242,949","1,247,563","1,253,221","1,263,518","1,273,149","1,280,168","1,290,326","1,300,214","1,309,368"
"Gainesville-Lake City, FL CSA","372,607","372,602","372,887","374,296","376,124","376,282","379,522","384,253","390,683","394,484","398,601","400,814"
"Grand Rapids-Kentwood-Muskegon, MI CSA","1,320,064","1,320,055","1,320,551","1,327,200","1,338,810","1,353,015","1,365,037","1,374,406","1,386,057","1,396,941","1,405,542","1,412,470"
"Green Bay-Shawano, WI CSA","352,422","352,428","352,962","354,656","356,477","357,739","359,855","361,212","362,848","365,139","366,750","368,361"
"Greensboro--Winston-Salem--High Point, NC CSA","1,589,200","1,589,330","1,591,715","1,600,549","1,608,829","1,617,310","1,627,618","1,636,597","1,651,950","1,664,094","1,676,075","1,689,151"
"Greenville-Kinston-Washington, NC CSA","275,402","275,467","276,173","277,877","279,525","280,494","280,568","281,441","281,780","282,262","282,621","283,685"
"Greenville-Spartanburg-Anderson, SC CSA","1,336,656","1,336,772","1,338,935","1,347,797","1,357,616","1,367,651","1,382,429","1,399,159","1,416,266","1,434,294","1,454,462","1,475,235"
"Harrisburg-York-Lebanon, PA CSA","1,219,422","1,219,484","1,220,644","1,224,984","1,229,322","1,234,012","1,239,530","1,245,706","1,251,594","1,258,383","1,266,397","1,271,801"
"Harrisonburg-Staunton, VA CSA","243,730","243,717","243,715","245,570","246,912","248,066","249,889","251,139","253,656","255,785","257,377","258,084"
"Hartford-East Hartford, CT CSA","1,486,436","1,486,541","1,488,095","1,489,125","1,489,398","1,487,761","1,485,348","1,481,384","1,476,998","1,474,446","1,472,424","1,470,083"
"Hattiesburg-Laurel, MS CSA","247,233","247,259","247,683","249,590","250,977","252,421","252,111","253,056","253,219","252,657","252,913","253,330"
"Hot Springs-Malvern, AR CSA","128,947","129,010","129,298","129,996","130,493","131,182","131,167","131,311","131,720","131,933","132,638","133,157"
"Houston-The Woodlands, TX CSA","6,099,977","6,100,028","6,127,175","6,236,536","6,363,750","6,509,435","6,682,251","6,855,629","6,991,785","7,086,409","7,162,844","7,253,193"
"Huntsville-Decatur, AL CSA","571,422","571,420","573,226","579,197","583,964","588,687","593,283","596,934","601,809","607,873","615,325","624,427"
"Idaho Falls-Rexburg-Blackfoot, ID CSA","229,650","229,721","230,395","231,869","232,303","232,662","233,755","235,400","239,721","243,888","246,981","251,347"
"Indianapolis-Carmel-Muncie, IN CSA","2,266,569","2,266,759","2,271,616","2,290,768","2,310,169","2,334,966","2,353,061","2,368,290","2,389,441","2,409,783","2,434,264","2,457,286"
"Ithaca-Cortland, NY CSA","150,900","150,882","151,019","151,201","151,749","152,458","152,131","151,296","150,857","150,479","150,141","149,761"
"Jackson-Brownsville, TN CSA","198,481","198,518","198,574","198,238","198,133","198,070","197,593","196,643","196,128","195,943","195,662","195,948"
"Jackson-Vicksburg-Brookhaven, MS CSA","669,962","670,751","672,002","676,598","678,646","679,339","680,031","679,931","680,503","680,380","677,679","674,340"
"Jacksonville-St. Marys-Palatka, FL-GA CSA","1,470,473","1,470,483","1,473,788","1,485,927","1,501,885","1,517,206","1,540,326","1,569,016","1,600,790","1,631,422","1,660,357","1,688,701"
"Johnson City-Kingsport-Bristol, TN-VA CSA","508,260","508,250","508,490","508,672","509,096","508,281","507,219","506,610","507,474","508,405","509,636","510,851"
"Johnstown-Somerset, PA CSA","221,421","221,426","221,220","219,853","218,548","215,413","213,683","211,411","209,274","207,202","205,321","203,639"
"Jonesboro-Paragould, AR CSA","163,116","163,109","163,464","165,617","167,521","169,000","170,601","172,759","174,636","176,252","178,058","179,185"
"Joplin-Miami, MO-OK CSA","207,366","207,357","207,692","205,715","206,588","207,307","207,798","208,548","208,989","209,607","209,932","210,691"
"Kalamazoo-Battle Creek-Portage, MI CSA","493,020","493,022","493,164","492,696","494,874","496,638","498,503","498,446","499,904","501,263","503,207","503,706"
"Kansas City-Overland Park-Kansas City, MO-KS CSA","2,343,008","2,342,982","2,347,356","2,361,575","2,376,530","2,392,759","2,408,952","2,426,161","2,448,721","2,469,471","2,486,953","2,501,151"
"Kennewick-Richland-Walla Walla, WA CSA","312,121","312,109","314,457","322,931","327,400","330,127","333,664","338,877","343,701","350,608","355,904","360,372"
"Kerrville-Fredericksburg, TX CSA","74,462","74,472","74,517","74,680","74,894","75,150","75,816","76,796","77,632","78,375","79,117","79,588"
"Knoxville-Morristown-Sevierville, TN CSA","1,077,073","1,077,245","1,078,492","1,084,886","1,090,652","1,095,818","1,101,134","1,107,585","1,116,570","1,127,378","1,136,765","1,146,049"
"Kokomo-Peru, IN CSA","119,655","119,653","119,562","119,446","119,368","118,905","118,675","118,342","118,347","118,074","117,903","118,060"
"Lafayette-Opelousas-Morgan City, LA CSA","604,784","604,770","605,657","608,564","611,233","616,790","621,829","626,032","626,714","624,542","622,303","620,679"
"Lafayette-West Lafayette-Frankfort, IN CSA","243,521","243,529","243,908","246,264","249,339","251,949","253,907","255,946","259,295","260,296","263,130","265,401"
"Lake Charles-Jennings, LA CSA","231,201","231,232","231,575","232,126","232,555","233,500","234,743","236,706","238,852","240,890","241,727","241,777"
"Las Vegas-Henderson, NV CSA","1,995,215","1,995,213","1,996,431","2,005,901","2,032,809","2,060,062","2,095,974","2,139,683","2,182,084","2,225,612","2,271,301","2,313,238"
"Lexington-Fayette--Richmond--Frankfort, KY CSA","684,789","684,828","686,854","694,121","701,258","708,092","714,050","722,196","730,078","737,525","741,627","745,033"
"Lima-Van Wert-Celina, OH CSA","221,838","221,805","221,722","221,069","220,355","219,818","219,649","218,871","218,271","217,987","217,666","217,454"
"Lincoln-Beatrice, NE CSA","324,468","324,468","325,230","328,527","331,982","335,870","341,191","344,805","349,034","352,596","355,295","357,887"
"Little Rock-North Little Rock, AR CSA","877,091","877,165","879,757","887,817","893,729","897,495","901,543","903,826","905,463","907,276","907,708","908,941"
"Los Angeles-Long Beach, CA CSA","17,877,006","17,877,303","17,905,938","18,050,749","18,181,675","18,305,063","18,424,249","18,541,725","18,630,058","18,692,953","18,710,563","18,711,436"
