"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,2013-2023
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",7.7
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",5.0
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",5.4
42140,"Santa Fe, NM (Metropolitan Statistical Area)",5.2
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",5.4
42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",5.8
42340,"Savannah, GA (Metropolitan Statistical Area)",3.9
42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",3.8
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",6.0
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",5.8
42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",3.9
43100,"Sheboygan, WI (Metropolitan Statistical Area)",4.1
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",4.3
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",3.9
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",4.5
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",4.9
43620,"Sioux Falls, SD (Metropolitan Statistical Area)",5.1
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",4.0
43900,"Spartanburg, SC (Metropolitan Statistical Area)",4.4
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",4.7
44100,"Springfield, IL (Metropolitan Statistical Area)",3.8
44140,"Springfield, MA (Metropolitan Statistical Area)",4.1
44180,"Springfield, MO (Metropolitan Statistical Area)",4.5
44220,"Springfield, OH (Metropolitan Statistical Area)",3.8
44300,"State College, PA (Metropolitan Statistical Area)",3.8
44420,"Staunton, VA (Metropolitan Statistical Area) *",4.2
44700,"Stockton, CA (Metropolitan Statistical Area)",5.5
44940,"Sumter, SC (Metropolitan Statistical Area)",4.3
45060,"Syracuse, NY (Metropolitan Statistical Area)",4.1
45220,"Tallahassee, FL (Metropolitan Statistical Area)",4.7
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",4.8
45460,"Terre Haute, IN (Metropolitan Statistical Area)",4.0
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",3.7
45540,"The Villages, FL (Metropolitan Statistical Area)",6.2
45780,"Toledo, OH (Metropolitan Statistical Area)",4.1
45820,"Topeka, KS (Metropolitan Statistical Area)",4.0
45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",4.1
46060,"Tucson, AZ (Metropolitan Statistical Area)",4.8
46140,"Tulsa, OK (Metropolitan Statistical Area)",2.1
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",3.0
46300,"Twin Falls, ID (Metropolitan Statistical Area)",4.3
46340,"Tyler, TX (Metropolitan Statistical Area)",3.1
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",4.1
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",4.0
46660,"Valdosta, GA (Metropolitan Statistical Area)",3.9
46700,"Vallejo, CA (Metropolitan Statistical Area)",4.9
